Age,Fuel_Type,Transmission,Mileage
8,0,0,19.67
12,1,0,18.2
11,0,0,20.77
10,0,1,15.2
10,0,0,23.08
7,0,1,11.36
10,0,0,20.54
11,0,0,22.3
5,1,0,21.56
11,1,1,16.8
8,0,0,25.2
9,0,1,12.7
9,0,0,13.5
7,0,0,25.8
6,0,0,28.4
9,0,0,20.45
9,0,1,14.84
9,0,1,22.69
8,0,0,23.65
8,1,1,13.53
13,1,0,18.5
13,1,1,14.4
11,1,0,16.8
11,0,0,23.08
10,1,0,20.92
5,1,0,17.5
16,0,0,12.8
10,0,0,19.01
11,1,0,14.53
10,0,1,11.18
13,0,1,12.4
9,1,0,16.09
14,1,0,14.0
5,0,0,24.3
6,1,0,18.15
10,0,1,11.74
10,0,0,22.07
15,1,0,19.7
9,1,0,25.4
6,0,0,25.32
9,1,0,18.5
9,1,1,14.62
7,1,1,14.28
15,0,0,14.9
11,1,0,11.25
9,0,0,24.4
11,0,0,16.55
8,0,1,17.11
9,0,0,22.9
9,0,0,17.8
10,0,0,28.4
8,1,0,18.9
8,1,0,15.04
6,1,0,25.17
13,1,0,20.36
13,0,1,13.29
13,1,0,18.2
6,0,0,13.68
13,0,0,20.0
8,1,1,11.74
12,0,0,15.8
7,0,0,25.0
11,0,1,16.55
16,1,1,16.4
7,0,0,24.52
5,0,0,22.1
15,1,1,8.5
8,0,0,15.1
11,1,1,16.95
8,0,0,19.64
7,1,1,16.5
9,0,1,18.53
15,0,0,17.8
17,1,0,12.4
11,0,0,12.8
11,0,0,22.9
6,1,0,17.57
7,1,0,18.0
11,0,0,20.0
10,0,0,23.2
14,1,0,17.8
12,0,1,16.73
14,1,0,20.36
7,1,0,18.9
16,1,0,17.0
7,1,0,17.8
9,0,0,13.0
5,0,1,17.68
10,0,0,22.7
9,0,0,15.1
8,0,0,25.8
13,0,0,16.2
13,1,0,15.26
12,0,0,23.0
6,1,0,19.83
13,0,1,14.94
14,1,0,17.0
13,1,0,14.0
9,1,0,17.71
12,0,1,14.74
11,0,0,16.0
9,0,1,22.32
6,0,1,11.36
6,1,0,15.1
8,0,1,22.69
13,1,0,13.5
9,0,0,12.99
9,0,1,23.3
7,1,1,19.15
14,1,1,10.8
7,0,0,24.3
18,1,0,17.0
9,0,1,15.0
5,0,0,22.0
12,1,0,18.9
6,1,1,21.9
9,0,0,12.05
14,1,1,11.7
16,1,0,10.8
8,0,1,21.21
6,1,0,20.73
7,0,1,16.0
7,1,0,21.1
9,1,0,24.07
6,1,1,19.0
4,1,1,17.0
13,1,0,19.7
8,0,1,20.58
8,1,1,19.0
11,1,0,13.5
9,0,1,19.27
9,0,0,25.8
7,1,0,22.0
15,1,0,17.0
11,0,0,11.5
9,1,0,18.6
10,0,0,21.14
5,1,0,20.73
10,1,1,11.05
9,0,1,21.76
7,0,0,22.9
13,1,1,7.81
7,0,1,21.66
11,0,1,17.2
4,1,0,21.1
11,0,0,22.07
7,1,0,20.63
10,1,0,19.4
