Age,Mileage,Cluster
8,19.67,8
12,18.2,2
11,20.77,17
10,15.2,11
10,23.08,12
7,11.36,18
10,20.54,17
11,22.3,12
5,21.56,13
11,16.8,1
8,25.2,0
9,12.7,18
9,13.5,18
7,25.8,0
6,28.4,5
9,20.45,8
9,14.84,9
9,22.69,12
8,23.65,0
8,13.53,9
13,18.5,2
13,14.4,2
11,23.08,12
10,20.92,17
5,17.5,6
16,12.8,16
10,19.01,17
11,14.53,11
10,11.18,18
13,12.4,10
9,16.09,9
14,14.0,10
5,24.3,5
6,18.15,6
10,11.74,18
10,22.07,12
15,19.7,14
9,25.4,0
6,25.32,5
9,18.5,1
9,14.62,9
7,14.28,9
15,14.9,15
11,11.25,4
9,24.4,0
11,16.55,1
8,17.11,9
9,22.9,12
9,17.8,1
10,28.4,0
8,18.9,8
8,15.04,9
6,25.17,5
13,20.36,14
13,13.29,10
13,18.2,2
6,13.68,3
13,20.0,14
8,11.74,18
12,15.8,2
7,25.0,0
16,16.4,15
7,24.52,0
5,22.1,13
15,8.5,10
8,15.1,9
11,16.95,1
8,19.64,8
7,16.5,9
9,18.53,1
15,17.8,15
17,12.4,16
11,12.8,11
11,22.9,12
6,17.57,6
7,18.0,6
11,20.0,17
10,23.2,12
14,17.8,14
12,16.73,2
14,20.36,14
7,18.9,8
16,17.0,15
7,17.8,6
9,13.0,18
5,17.68,6
10,22.7,12
9,15.1,9
8,25.8,0
13,16.2,2
13,15.26,2
12,23.0,12
6,19.83,6
13,14.94,2
14,17.0,14
13,14.0,10
9,17.71,1
12,14.74,11
11,16.0,1
9,22.32,12
6,11.36,3
6,15.1,3
8,22.69,8
13,13.5,10
9,12.99,18
9,23.3,12
7,19.15,8
14,10.8,10
7,24.3,0
18,17.0,7
9,15.0,9
5,22.0,13
12,18.9,17
6,21.9,13
9,12.05,18
14,11.7,10
16,10.8,16
8,21.21,8
6,20.73,13
7,16.0,9
7,21.1,8
9,24.07,0
6,19.0,6
4,17.0,6
13,19.7,14
8,20.58,8
8,19.0,8
11,13.5,11
9,19.27,8
9,25.8,0
7,22.0,13
15,17.0,15
11,11.5,4
9,18.6,1
10,21.14,17
5,20.73,13
10,11.05,18
9,21.76,8
7,22.9,0
13,7.81,4
7,21.66,13
11,17.2,1
4,21.1,13
11,22.07,12
7,20.63,8
10,19.4,17
10,14.8,11
8,26.0,0
7,12.99,3
6,20.4,13
11,15.1,11
9,22.7,12
11,13.0,11
10,21.5,12
8,15.3,9
6,19.27,6
11,19.4,17
10,20.36,17
7,17.9,6
4,18.9,6
11,17.68,1
10,14.4,11
6,16.6,6
9,22.54,12
9,17.68,1
11,25.44,12
11,13.7,11
17,17.8,7
9,22.48,12
16,12.9,16
8,19.98,8
6,21.4,13
11,22.32,12
6,19.81,6
7,15.4,9
5,12.7,3
7,25.47,0
8,20.36,8
10,25.8,0
15,17.5,15
9,19.87,8
6,17.45,6
7,18.6,8
14,14.7,10
13,15.64,2
8,15.73,9
9,14.7,9
9,23.59,12
9,14.8,9
10,27.4,0
9,20.46,8
8,15.29,9
7,20.51,8
13,11.74,10
11,11.8,11
11,19.81,17
6,14.3,3
6,14.67,3
5,17.19,6
19,18.9,7
10,21.03,17
5,19.27,6
10,22.5,12
8,19.01,8
10,17.8,1
6,16.82,6
16,17.2,15
4,11.36,3
12,11.72,4
12,17.4,2
5,18.6,6
8,19.27,8
10,25.44,0
8,22.54,8
8,12.99,18
10,20.77,17
9,12.8,18
9,17.05,1
6,24.0,5
7,28.09,0
11,20.5,17
17,13.1,16
9,19.91,8
6,18.7,6
13,19.81,14
5,16.38,6
12,19.7,17
9,18.9,8
15,22.0,14
13,17.0,2
6,11.57,3
9,15.8,9
9,23.2,12
7,19.67,8
13,19.0,14
7,19.64,8
13,17.8,2
6,16.55,6
7,12.8,3
5,28.4,5
10,12.05,18
6,22.95,13
6,18.88,6
11,23.4,12
7,22.74,13
12,17.0,2
5,12.07,3
11,17.1,1
14,16.8,2
10,21.9,12
12,20.54,17
9,17.4,1
5,22.95,13
8,18.48,8
14,18.9,14
8,18.2,8
11,15.0,11
11,20.36,17
7,13.68,3
8,17.68,8
13,12.99,10
8,16.47,9
12,20.92,17
6,18.0,6
10,17.0,1
8,17.9,8
12,17.8,2
9,23.1,12
6,17.9,6
6,12.7,3
11,14.0,11
11,18.5,17
11,18.0,1
11,18.9,17
8,16.0,9
15,17.1,15
5,16.02,6
12,11.7,4
11,19.3,17
15,17.7,15
12,9.52,4
6,14.75,3
11,23.0,12
14,16.95,14
7,19.0,8
12,18.5,2
12,16.47,2
14,19.7,14
19,11.3,16
17,19.7,7
11,21.12,17
11,19.7,17
10,19.3,17
15,11.3,10
9,18.0,1
8,21.76,8
10,21.02,17
18,14.45,16
6,24.07,5
12,18.0,2
6,19.33,6
16,13.1,16
4,14.67,3
10,22.9,12
7,18.5,8
12,23.08,12
8,23.4,0
11,17.8,1
6,13.8,3
5,24.7,5
14,11.0,10
8,11.07,18
6,24.3,5
15,12.07,10
16,16.1,15
8,20.45,8
6,21.43,13
13,21.1,14
6,16.0,6
8,24.4,0
9,14.21,9
6,15.0,3
6,13.5,3
8,18.0,8
8,18.86,8
9,21.1,8
9,20.51,8
12,21.1,17
12,16.07,2
9,13.49,18
9,20.38,8
11,12.7,11
13,12.0,10
5,13.5,3
10,14.0,11
12,17.01,2
10,16.73,1
10,14.74,11
13,13.7,10
6,15.73,6
10,14.84,11
6,15.4,3
13,16.0,2
18,13.2,16
6,17.19,6
5,11.5,3
8,21.1,8
5,18.9,6
10,13.0,18
13,16.47,2
7,15.26,9
6,15.29,3
12,11.74,4
9,16.82,1
17,17.0,7
10,23.59,12
9,19.4,8
5,21.4,13
5,21.1,13
4,20.37,13
12,16.2,2
8,16.8,9
16,18.9,15
9,13.7,18
7,15.96,9
6,13.0,3
6,16.09,6
15,12.9,10
9,22.3,12
10,16.0,1
6,18.6,6
9,14.16,9
13,13.17,10
8,12.8,18
7,27.62,0
5,25.1,5
7,15.17,9
7,21.76,13
7,11.33,18
11,19.01,17
7,24.4,0
10,16.47,1
10,21.12,17
15,17.92,14
11,12.99,11
6,28.09,5
10,12.55,18
14,15.3,2
5,12.6,3
11,17.72,1
5,18.16,6
10,16.8,1
8,19.87,8
8,15.68,9
12,20.0,17
15,12.8,10
6,12.55,3
12,23.2,12
10,22.32,12
12,10.8,4
6,11.0,3
19,12.0,16
7,17.01,9
7,20.0,8
9,16.02,9
17,18.7,7
19,17.3,7
10,15.5,11
9,16.5,1
15,12.1,10
11,18.6,17
8,17.3,9
6,18.9,6
11,14.83,11
14,17.92,14
4,15.29,3
10,20.5,17
10,17.6,1
11,22.5,12
7,15.8,9
6,17.68,6
4,22.0,13
10,14.6,11
13,11.5,4
13,12.05,10
13,16.8,2
10,14.66,11
13,10.93,4
12,19.3,17
10,18.2,1
14,12.6,10
11,18.48,17
6,20.68,13
14,17.7,14
13,17.5,2
16,13.5,16
10,25.47,0
10,9.9,18
6,21.13,13
8,20.14,8
16,19.2,15
9,18.88,8
8,27.3,0
8,16.36,9
7,26.59,0
5,17.1,6
13,12.5,10
10,18.6,1
4,22.32,13
11,15.96,1
19,13.8,16
5,20.14,13
11,13.6,11
6,25.1,5
9,18.2,1
7,17.05,9
11,15.06,11
8,12.55,18
9,11.33,18
8,18.5,8
17,10.13,16
10,17.21,1
9,15.97,9
5,25.2,5
7,13.53,3
15,10.5,10
7,16.36,9
8,19.3,8
