Duration,Franchise
1.13,31.13
3.95,8.02
3.81,73.02
3.95,81.9
2.7,19.77
2.9,39.1
4.65,55.94
5.15,63.76
1.23,26.65
5.33,41.11
2.85,24.9
4.05,21.26
2.35,92.91
5.21,78.72
3.01,11.29
2.06,52.43
2.32,28.43
5.49,42.94
1.45,9.48
3.98,41.55
5.86,86.77
4.84,37.32
5.77,88.21
3.54,15.11
1.76,77.44
3.99,51.42
2.2,27.88
5.08,97.91
5.73,20.69
5.64,76.75
5.98,66.74
2.24,11.08
1.04,72.24
5.3,11.73
3.7,73.72
4.92,81.71
2.77,44.05
1.3,74.18
1.95,47.62
5.37,12.16
1.25,99.93
1.83,51.14
1.82,5.2
2.43,71.18
1.77,33.19
4.74,10.43
1.28,53.24
4.38,27.34
3.89,8.78
5.67,24.4
1.65,66.32
1.05,64.01
3.53,17.58
2.85,19.99
4.34,57.69
2.32,89.52
4.02,73.17
3.53,28.86
5.15,9.19
1.81,46.97
1.38,88.9
3.91,19.07
5.49,24.96
5.87,76.2
5.88,82.02
4.91,44.11
2.33,79.8
2.11,82.58
2.11,67.7
5.83,31.52
5.7,15.96
1.19,61.67
4.03,53.59
1.22,46.43
2.82,11.65
4.32,16.84
2.63,71.23
4.39,90.77
2.52,24.97
3.32,47.01
4.29,31.96
5.09,76.36
1.74,9.39
3.28,89.18
3.47,28.18
4.89,25.79
1.25,28.67
4.34,98.85
4.06,73.33
5.49,75.65
5.2,31.34
2.37,12.36
5.47,12.65
4.53,11.1
1.31,84.12
5.28,77.73
2.49,42.05
3.44,30.93
4.62,84.85
5.53,61.23
1.68,48.86
3.27,37.06
2.26,12.78
2.12,11.52
5.75,23.94
3.37,15.87
4.83,20.94
4.89,20.56
3.88,91.26
1.38,70.61
5.25,62.04
2.74,45.7
1.06,44.91
4.18,83.73
4.08,92.36
2.61,28.32
2.22,49.15
3.47,35.88
2.7,88.63
3.58,23.15
4.45,66.36
2.47,43.42
3.37,55.44
2.76,48.11
2.58,75.57
2.08,51.0
5.9,84.1
1.07,55.74
4.49,17.0
3.87,49.59
2.26,86.86
1.37,64.8
1.43,28.58
4.88,41.14
2.53,64.0
4.13,30.14
1.78,43.81
2.16,72.16
5.62,79.84
3.13,56.73
1.36,20.76
3.2,49.53
3.5,51.91
4.67,62.35
6.0,68.87
3.35,66.89
4.17,51.71
2.61,14.94
2.44,94.79
1.44,28.98
4.29,56.55
4.11,52.36
3.75,93.13
1.14,64.85
3.75,57.46
3.31,16.16
3.54,30.98
3.28,18.74
5.32,31.24
5.1,31.87
5.33,47.42
3.28,35.57
2.17,78.68
2.93,68.05
5.82,16.99
5.37,46.83
3.05,67.2
2.69,70.81
5.77,64.55
4.09,27.3
4.73,46.23
3.22,70.93
2.47,40.61
1.85,12.5
3.49,60.4
2.28,5.89
1.37,94.8
4.45,48.4
1.53,41.23
1.11,83.85
5.55,75.79
4.04,38.47
4.14,90.82
1.17,39.66
4.74,21.69
3.65,91.78
5.84,33.04
5.81,18.37
5.84,81.44
2.32,16.74
3.92,83.13
3.36,63.86
4.24,65.36
1.58,9.31
1.49,89.29
3.94,74.03
4.08,94.21
3.22,95.3
3.72,97.9
5.84,95.16
4.21,61.73
5.94,79.76
3.93,82.24
2.39,98.48
1.55,87.31
3.94,6.5
3.63,75.84
3.26,26.05
3.29,96.58
3.13,15.26
2.61,19.09
2.9,61.75
1.5,71.67
3.15,89.37
3.08,14.03
5.77,70.25
1.47,14.17
3.93,58.35
5.37,94.41
5.84,62.04
1.77,50.81
1.57,31.46
4.04,67.49
4.51,34.35
3.83,43.07
1.46,55.4
2.85,73.55
5.42,19.78
2.36,67.88
2.08,53.67
3.63,34.3
1.04,33.63
2.45,16.4
2.9,71.85
1.36,86.87
5.31,59.7
2.45,43.48
5.16,92.38
3.18,43.04
2.11,79.02
5.53,38.19
2.18,18.91
1.89,78.42
4.41,88.79
5.32,64.59
4.16,80.65
2.55,47.93
4.22,97.85
3.31,57.66
5.55,59.31
5.79,47.8
3.52,21.39
3.62,62.93
3.04,37.14
1.33,13.98
2.67,60.36
1.64,72.34
5.07,68.66
4.23,45.22
5.76,37.46
1.77,33.1
4.31,88.26
1.81,83.98
4.61,9.15
4.05,76.48
2.55,81.82
4.39,59.19
3.51,44.77
5.37,9.96
4.56,54.01
2.36,91.0
5.08,89.04
3.51,27.4
2.59,14.41
1.69,32.25
4.79,49.57
2.28,84.32
1.56,32.37
4.19,64.17
