Duration,Franchise
186,9.57
65,29.7
60,23.76
79,11.88
47,23.76
63,65.34
57,11.88
186,59.4
53,49.4
5,23.76
6,11.88
48,47.52
11,17.82
14,41.58
136,65.34
29,5.94
28,5.94
153,41.58
28,11.88
4,17.82
54,41.58
24,53.46
23,17.82
29,23.76
5,29.7
26,89.1
26,17.82
152,5.94
48,35.64
30,35.64
9,29.7
32,29.7
8,23.76
4,11.88
111,53.46
34,11.88
19,23.76
20,89.1
201,77.22
2,5.94
114,41.58
20,23.76
40,77.22
3,17.82
85,65.34
17,71.28
6,17.82
133,65.34
5,17.82
18,83.16
45,11.88
8,29.7
103,95.04
12,17.82
92,9.57
5,9.57
36,9.57
86,23.76
2,11.88
17,17.82
60,11.88
28,29.7
8,11.88
32,89.1
26,23.76
100,106.92
105,23.76
244,29.7
34,35.64
40,10.64
38,28.5
111,36.1
163,11.88
7,5.94
12,23.76
53,77.22
31,59.4
13,29.7
95,17.82
8,17.82
125,29.7
5,11.88
9,53.46
26,11.88
13,18.24
35,9.57
25,16.5
34,9.57
150,9.57
10,23.76
72,11.88
19,29.7
86,29.7
35,23.76
28,23.76
99,41.58
29,17.82
171,17.82
25,17.82
34,17.82
127,29.7
160,23.76
168,29.7
78,59.4
9,17.82
35,17.82
41,23.76
27,17.82
158,106.92
150,59.4
16,47.52
51,11.02
67,9.57
101,5.94
100,17.82
37,23.76
135,65.34
52,59.4
153,29.7
93,17.82
72,35.64
8,5.94
5,5.94
65,11.88
22,17.82
8,8.36
37,41.42
57,28.5
75,9.57
34,41.58
13,11.88
146,41.58
31,29.7
54,35.64
7,41.58
43,100.98
7,35.64
10,17.82
33,23.76
28,17.82
9,23.76
63,17.82
23,23.76
99,29.7
51,59.4
13,35.64
16,31.54
4,23.76
10,41.58
15,89.1
68,29.7
158,23.76
1,5.94
154,65.34
149,35.64
155,23.76
21,47.52
112,65.34
7,17.82
99,112.86
13,59.4
23,29.7
66,41.58
117,53.46
104,14.44
5,14.44
151,9.57
122,9.57
143,9.57
9,35.64
12,41.58
118,17.82
24,17.82
104,71.28
41,29.7
52,35.64
159,89.1
22,35.64
96,5.94
159,65.34
17,35.64
13,17.82
16,23.76
11,11.88
43,47.52
7,11.88
6,35.64
99,12.54
26,14.44
20,9.57
142,9.57
109,23.76
15,41.58
24,47.52
24,29.7
60,17.82
37,29.7
31,5.94
12,5.94
53,53.46
192,89.1
74,53.46
9,5.94
44,23.76
160,106.92
125,35.64
169,71.28
56,47.52
29,41.58
28,35.64
19,17.82
6,23.76
28,8.36
76,9.57
110,35.64
129,5.94
17,59.4
45,17.82
19,65.34
1,11.88
48,17.82
10,47.52
21,17.82
21,41.58
114,12.54
10,10.64
38,14.44
129,9.57
124,53.46
233,17.82
44,47.52
19,35.64
17,23.76
16,65.34
18,29.7
21,53.46
21,29.7
27,35.64
10,11.88
203,23.76
18,28.5
108,14.44
59,11.88
96,35.64
23,65.34
155,35.64
31,17.82
29,11.88
83,59.4
46,41.58
114,35.64
60,29.7
38,35.64
191,29.7
107,10.64
32,11.88
69,41.58
113,35.64
59,17.82
174,89.1
154,35.64
66,23.76
118,47.52
40,17.82
14,23.76
16,17.82
18,41.58
145,23.76
153,47.52
84,29.7
62,11.88
38,23.76
50,23.76
15,11.88
22,29.7
40,23.76
16,29.7
178,17.82
6,29.7
136,60.04
20,11.88
59,23.76
109,17.82
64,59.4
25,29.7
54,17.82
60,95.04
14,29.7
12,11.88
16,53.46
46,35.64
89,41.58
10,15.96
139,41.58
9,11.88
4,5.94
53,17.82
31,35.64
14,47.52
172,17.82
175,71.28
175,112.86
22,41.58
135,35.64
103,59.4
46,23.76
32,18.62
65,9.57
59,9.57
69,19.14
97,35.64
114,47.52
50,29.7
235,65.34
6,10.64
11,23.76
190,83.16
51,35.64
78,53.46
30,5.94
53,35.64
10,35.64
91,77.22
9,41.58
50,28.5
78,32.68
88,25.08
56,53.46
100,83.16
127,17.82
151,53.46
55,53.46
77,23.76
49,9.57
14,35.64
135,77.22
55,29.7
202,89.1
153,100.98
77,47.52
17,29.7
125,41.58
52,17.82
55,17.82
128,41.58
18,71.28
105,29.7
14,11.88
32,41.58
36,23.76
38,11.88
39,5.94
22,23.76
17,11.88
7,23.76
137,71.28
53,41.58
7,29.7
49,17.82
84,65.34
94,29.7
14,53.46
69,23.76
50,9.57
64,9.57
54,9.57
21,35.64
81,35.64
12,53.46
56,23.76
61,17.82
42,17.82
140,23.76
12,29.7
141,29.7
154,10.64
45,9.57
30,17.82
23,35.64
67,41.58
57,23.76
73,29.7
45,22.04
56,9.57
70,9.57
59,35.64
18,17.82
8,35.64
6,5.94
26,29.7
82,35.64
74,9.57
15,59.4
100,53.46
3,23.76
23,5.94
13,9.57
55,19.14
81,11.88
21,83.16
84,11.88
15,29.7
55,41.58
23,41.58
186,41.58
71,53.46
34,10.64
115,71.28
19,41.58
23,89.1
92,17.82
34,53.46
100,71.28
15,17.82
14,28.5
8,41.58
230,41.58
73,35.64
128,23.76
134,23.76
30,29.7
181,59.4
23,11.88
76,14.44
73,41.58
45,47.52
27,11.88
139,53.46
71,65.34
14,17.82
193,47.52
70,29.7
214,11.88
44,11.88
112,23.76
11,5.94
16,11.88
87,53.46
10,5.94
8,9.57
19,9.57
191,41.58
80,41.58
61,35.64
170,35.64
28,77.22
31,23.76
32,23.76
36,29.7
101,89.1
37,47.52
80,53.46
54,65.34
95,11.88
21,27.36
130,17.82
52,53.46
100,47.52
153,53.46
148,35.64
27,65.34
71,41.58
108,53.46
51,47.52
70,41.58
22,12.54
38,60.04
17,32.68
11,65.34
51,11.88
11,41.58
101,118.8
16,5.94
42,35.64
3,5.94
6,9.57
43,9.57
162,53.46
54,29.7
70,23.76
73,23.76
71,23.76
25,35.64
45,5.94
11,29.7
84,55.86
69,53.46
21,11.88
206,17.82
12,65.34
87,29.7
72,23.76
130,29.7
94,59.4
10,29.7
26,28.5
111,44.84
82,29.7
39,41.58
11,59.4
43,23.76
110,41.58
20,65.34
64,35.64
12,35.64
14,59.4
33,47.52
3,11.02
131,9.57
76,28.5
19,32.68
42,23.76
59,41.58
36,35.64
187,41.58
173,65.34
62,17.82
23,59.4
131,17.82
96,12.54
27,8.36
5,11.02
62,78.28
178,41.58
75,17.82
31,77.22
10,53.46
120,47.52
25,5.94
119,29.7
157,11.88
19,36.1
26,8.36
33,10.64
33,14.44
4,9.57
65,71.28
27,23.76
42,47.52
26,35.64
89,71.28
36,41.58
84,35.64
3,11.88
117,106.92
128,9.57
141,47.52
9,47.52
23,112.86
111,23.76
115,47.52
110,47.52
59,8.36
33,9.57
51,23.76
35,47.52
134,11.88
135,59.4
50,11.88
34,5.94
207,29.7
144,23.76
38,53.46
16,28.5
15,9.57
79,32.68
89,49.4
121,65.34
77,17.82
24,83.16
131,65.34
75,65.34
22,89.1
30,11.88
58,17.82
33,29.7
48,41.58
48,36.1
106,47.52
90,29.7
112,17.82
20,53.46
35,95.04
108,23.76
116,47.52
124,23.76
82,41.58
118,41.58
34,11.02
111,35.64
168,53.46
138,17.82
21,23.76
34,59.4
211,5.94
83,17.82
157,5.94
18,10.64
18,8.36
41,9.57
17,41.58
36,11.88
66,17.82
58,23.76
11,35.64
26,41.58
31,47.52
55,65.34
124,41.58
44,29.7
37,22.04
20,17.82
15,47.52
127,47.52
57,17.82
