Duration,Franchise,Cluster
186,9.57,14
65,29.7,15
60,23.76,15
79,11.88,16
47,23.76,15
63,65.34,5
57,11.88,16
186,59.4,7
53,49.4,5
5,23.76,11
6,11.88,11
48,47.52,5
11,17.82,11
14,41.58,18
136,65.34,12
29,5.94,4
28,5.94,4
153,41.58,8
28,11.88,4
4,17.82,11
54,41.58,5
24,53.46,18
23,17.82,1
29,23.76,1
5,29.7,11
26,89.1,3
26,17.82,1
152,5.94,0
48,35.64,15
30,35.64,15
9,29.7,11
32,29.7,1
8,23.76,11
4,11.88,11
111,53.46,9
34,11.88,4
19,23.76,1
20,89.1,3
201,77.22,7
2,5.94,11
114,41.58,9
20,23.76,1
40,77.22,10
3,17.82,11
85,65.34,5
17,71.28,3
6,17.82,11
133,65.34,12
5,17.82,11
18,83.16,3
45,11.88,16
8,29.7,11
103,95.04,17
12,17.82,11
92,9.57,16
5,9.57,11
36,9.57,4
86,23.76,9
2,11.88,11
17,17.82,1
60,11.88,16
28,29.7,1
8,11.88,11
32,89.1,10
26,23.76,1
100,106.92,13
105,23.76,0
244,29.7,7
34,35.64,15
40,10.64,4
38,28.5,15
111,36.1,9
163,11.88,14
7,5.94,11
12,23.76,11
53,77.22,17
31,59.4,10
13,29.7,1
95,17.82,0
8,17.82,11
125,29.7,8
5,11.88,11
9,53.46,3
26,11.88,4
13,18.24,11
35,9.57,4
25,16.5,4
34,9.57,4
150,9.57,0
10,23.76,11
72,11.88,16
19,29.7,1
86,29.7,9
35,23.76,15
28,23.76,1
99,41.58,9
29,17.82,1
171,17.82,14
25,17.82,1
34,17.82,4
127,29.7,8
160,23.76,14
168,29.7,8
78,59.4,5
9,17.82,11
35,17.82,4
41,23.76,15
27,17.82,1
158,106.92,13
150,59.4,12
16,47.52,18
51,11.02,16
67,9.57,16
101,5.94,16
100,17.82,0
37,23.76,15
135,65.34,12
52,59.4,5
153,29.7,8
93,17.82,0
72,35.64,15
8,5.94,11
5,5.94,11
65,11.88,16
22,17.82,1
8,8.36,11
37,41.42,15
57,28.5,15
75,9.57,16
34,41.58,18
13,11.88,4
146,41.58,8
31,29.7,1
54,35.64,15
7,41.58,18
43,100.98,17
7,35.64,1
10,17.82,11
33,23.76,1
28,17.82,1
9,23.76,11
63,17.82,15
23,23.76,1
99,29.7,9
51,59.4,5
13,35.64,1
16,31.54,1
4,23.76,11
10,41.58,18
15,89.1,3
68,29.7,15
158,23.76,14
1,5.94,11
154,65.34,12
149,35.64,8
155,23.76,14
21,47.52,18
112,65.34,12
7,17.82,11
99,112.86,13
13,59.4,3
23,29.7,1
66,41.58,5
117,53.46,9
104,14.44,0
5,14.44,11
151,9.57,0
122,9.57,16
143,9.57,0
9,35.64,1
12,41.58,18
118,17.82,0
24,17.82,1
104,71.28,17
41,29.7,15
52,35.64,15
159,89.1,2
22,35.64,1
96,5.94,16
159,65.34,12
17,35.64,1
13,17.82,11
16,23.76,1
11,11.88,11
43,47.52,5
7,11.88,11
6,35.64,1
99,12.54,16
26,14.44,4
20,9.57,4
142,9.57,0
109,23.76,0
15,41.58,18
24,47.52,18
24,29.7,1
60,17.82,15
37,29.7,15
31,5.94,4
12,5.94,4
53,53.46,5
192,89.1,2
74,53.46,5
9,5.94,11
44,23.76,15
160,106.92,13
125,35.64,8
169,71.28,12
56,47.52,5
29,41.58,18
28,35.64,1
19,17.82,1
6,23.76,11
28,8.36,4
76,9.57,16
110,35.64,9
129,5.94,16
17,59.4,3
45,17.82,15
19,65.34,3
1,11.88,11
48,17.82,15
10,47.52,3
21,17.82,1
21,41.58,18
114,12.54,0
10,10.64,11
38,14.44,4
129,9.57,16
124,53.46,9
233,17.82,7
44,47.52,5
19,35.64,1
17,23.76,1
16,65.34,3
18,29.7,1
21,53.46,18
21,29.7,1
27,35.64,1
10,11.88,11
203,23.76,14
18,28.5,1
108,14.44,0
59,11.88,16
